finden fanden
sein waren
trinken tranken
essen aßen
schwimmen schwammen
kommen kammen
sehen sahen
beginnen begannen
geben gaben
lesen lasen
sprechen sprachen
gehen gingen
denken dachten
nehemen nahmen
lesen lasen
bleiben blieben
schloss
verleren verloren
schlafen schliefen
schreiben schieben
erhielt 
ließ
nachlassen
spazieren spazierten
machen machten
sagen sagten
arbeiten arbeitet
stellen stellten
ausstellen ausstellten
können konnten
stand
zeigte
äöüß

http://www.verbix.com/
http://www.canoo.net/
